iter	Logloss
0	0.6367568476
1	0.5978704769
2	0.5645364571
3	0.5265509002
4	0.4976440214
5	0.4752891039
6	0.4532708011
7	0.4361878953
8	0.4182948556
9	0.4046835907
10	0.3909856881
11	0.3791577509
12	0.3687908954
13	0.3588463123
14	0.3513956118
15	0.3433287984
16	0.3369213818
17	0.3310773775
18	0.324865904
19	0.3192572458
20	0.3144792282
21	0.3114497329
22	0.3080384636
23	0.3034814006
24	0.3002668092
25	0.2976467427
26	0.2947222917
27	0.2917231371
28	0.2890139176
29	0.2867556912
30	0.2841529946
31	0.2822807158
32	0.2797212676
33	0.2777160584
34	0.2760696333
35	0.2738875476
36	0.2719974649
37	0.2705987652
38	0.2692205413
39	0.2675014332
40	0.2658550229
41	0.2640425242
42	0.2624238822
43	0.2607335385
44	0.2596198293
45	0.2584843052
46	0.2571966426
47	0.2560745684
48	0.2554494545
49	0.2535869398
50	0.2527145822
51	0.2504632215
52	0.2499537865
53	0.2489180613
54	0.248238725
55	0.2471348643
56	0.2465397351
57	0.2454730007
58	0.2445509305
59	0.2434374443
60	0.2421971631
61	0.2415945569
62	0.2408820261
63	0.240432577
64	0.2390452297
65	0.2385600902
66	0.2373588257
67	0.2365693194
68	0.2361591715
69	0.2353394786
70	0.2347296788
71	0.2335970274
72	0.2330221407
73	0.2321308293
74	0.2308354197
75	0.2301981719
76	0.2297822709
77	0.2283903747
78	0.2274226345
79	0.2268720561
80	0.2261689218
81	0.2252800371
82	0.2250591771
83	0.2244744524
84	0.2240181827
85	0.2235362175
86	0.222595874
87	0.2216591661
88	0.2207213605
89	0.2202699991
90	0.2199501242
91	0.2194541989
92	0.2184340594
93	0.2178963446
94	0.2174120365
95	0.2165901143
96	0.2162307856
97	0.2158417022
98	0.2154508644
99	0.2142475035
100	0.2136654444
101	0.2132133598
102	0.2123243845
103	0.2117275476
104	0.2104882651
105	0.2101366611
106	0.2089650248
107	0.208538983
108	0.2080898621
109	0.2075622021
110	0.2070182426
111	0.2068300208
112	0.2062800204
113	0.2052275104
114	0.2047482131
115	0.2038061649
116	0.2030908531
117	0.2026148396
118	0.2021126319
119	0.2016354639
120	0.2014562326
121	0.2003389498
122	0.1999452672
123	0.199515476
124	0.199157079
125	0.1985539132
126	0.1983417278
127	0.1981766389
128	0.1974626342
129	0.197433344
130	0.1967996236
131	0.196621126
132	0.1961002418
133	0.1956916744
134	0.1950929702
135	0.1939825868
136	0.1937062358
137	0.1925892404
138	0.1922232095
139	0.1913749545
140	0.190748616
141	0.1903813138
142	0.1901121779
143	0.189490855
144	0.18884965
145	0.1887555034
146	0.188504262
147	0.1878244347
148	0.1872252854
149	0.1869527835
150	0.1867698544
151	0.1856167966
152	0.1843350822
153	0.1838152699
154	0.1835622038
155	0.1832618571
156	0.1829444137
157	0.1823690161
158	0.1823370203
159	0.1817555133
160	0.1814108702
161	0.1810172436
162	0.1802673744
163	0.1796590162
164	0.1790562305
165	0.1786801941
166	0.1783386833
167	0.1776424244
168	0.1772042714
169	0.176847461
