iter	Passed	Remaining
0	53	21799
1	100	20539
2	146	20000
3	197	20156
4	242	19727
5	290	19642
6	335	19392
7	387	19577
8	432	19347
9	476	19143
10	524	19103
11	573	19101
12	628	19280
13	675	19206
14	725	19202
15	774	19175
16	827	19225
17	873	19112
18	906	18748
19	958	18785
20	1009	18802
21	1045	18531
22	1099	18599
23	1155	18674
24	1204	18647
25	1258	18677
26	1310	18688
27	1366	18745
28	1417	18716
29	1465	18663
30	1508	18544
31	1548	18392
32	1584	18201
33	1622	18038
34	1656	17838
35	1696	17716
36	1734	17576
37	1773	17459
38	1812	17334
39	1848	17186
40	1887	17077
41	1922	16936
42	1960	16821
43	1997	16707
44	2037	16619
45	2075	16512
46	2112	16405
47	2147	16287
48	2183	16172
49	2222	16090
50	2263	16018
51	2301	15933
52	2339	15844
53	2378	15769
54	2414	15674
55	2451	15581
56	2487	15493
57	2524	15406
58	2561	15324
59	2597	15236
60	2636	15172
61	2677	15112
62	2716	15050
63	2751	14961
64	2789	14889
65	2827	14822
66	2866	14760
67	2909	14716
68	2948	14657
69	2987	14598
70	3021	14512
71	3057	14437
72	3094	14369
73	3133	14314
74	3170	14244
75	3207	14182
76	3245	14121
77	3281	14052
78	3320	13998
79	3358	13936
80	3397	13882
81	3433	13818
82	3471	13761
83	3507	13696
84	3543	13633
85	3580	13571
86	3615	13507
87	3651	13444
88	3690	13392
89	3726	13330
90	3762	13271
91	3799	13215
92	3836	13159
93	3873	13104
94	3911	13051
95	3947	12993
96	3988	12952
97	4022	12887
98	4059	12833
99	4092	12769
100	4128	12713
101	4166	12661
102	4206	12619
103	4243	12566
104	4278	12509
105	4316	12460
106	4352	12407
107	4390	12358
108	4430	12316
109	4467	12264
110	4507	12222
111	4543	12169
112	4577	12113
113	4615	12064
114	4653	12016
115	4688	11964
116	4723	11909
117	4760	11861
118	4798	11814
119	4838	11773
120	4876	11728
121	4916	11686
122	4951	11634
123	4987	11584
124	5025	11537
125	5060	11486
126	5098	11442
127	5134	11391
128	5170	11343
129	5186	11251
130	5222	11202
131	5255	11148
132	5290	11098
133	5324	11047
134	5361	11000
135	5399	10956
136	5434	10908
137	5470	10861
138	5505	10812
139	5544	10771
140	5581	10727
141	5617	10682
142	5651	10632
143	5687	10585
144	5725	10543
145	5766	10506
146	5803	10461
147	5837	10412
148	5876	10372
149	5909	10322
150	5940	10268
151	5979	10227
152	6016	10184
153	6051	10137
154	6089	10097
155	6126	10053
156	6163	10011
157	6200	9967
158	6216	9891
159	6251	9845
160	6290	9806
161	6328	9766
162	6365	9723
163	6400	9678
164	6437	9636
165	6477	9599
166	6511	9552
167	6544	9505
168	6586	9470
169	6623	9428
170	6661	9388
171	6696	9344
172	6735	9304
173	6771	9261
174	6807	9219
175	6842	9174
176	6878	9132
177	6913	9088
178	6946	9042
179	6983	9000
180	7019	8958
181	7056	8917
182	7075	8853
183	7111	8812
184	7147	8769
185	7181	8726
186	7216	8683
187	7256	8646
188	7293	8605
189	7330	8564
190	7364	8520
191	7398	8477
192	7434	8435
193	7472	8396
194	7509	8357
195	7546	8316
196	7582	8275
197	7619	8235
198	7658	8196
199	7695	8156
200	7727	8112
201	7762	8070
202	7796	8027
203	7829	7983
204	7865	7942
205	7903	7903
206	7938	7861
207	7977	7823
208	8013	7783
209	8053	7746
210	8088	7705
211	8127	7667
212	8166	7629
213	8206	7592
214	8241	7551
215	8277	7511
216	8314	7471
217	8353	7434
218	8390	7394
219	8425	7353
220	8461	7312
